SpeciesCode,Species,TaxonSort,Visit,Count,SpeciesCover
BY,Barnacle Goose,2955,JAN-2015,0,Good
BY,Barnacle Goose,2955,FEB-2015,0,Good
BY,Barnacle Goose,2955,MAR-2015,0,Good
BY,Barnacle Goose,2955,APR-2015,0,Good
BY,Barnacle Goose,2955,MAY-2015,0,Good
BY,Barnacle Goose,2955,JUN-2015,0,Good
BY,Barnacle Goose,2955,JUL-2015,0,Poor
BY,Barnacle Goose,2955,AUG-2015,0,Poor
BY,Barnacle Goose,2955,SEP-2015,0,Good
BY,Barnacle Goose,2955,OCT-2015,5,Good
BY,Barnacle Goose,2955,NOV-2015,0,Good
BY,Barnacle Goose,2955,DEC-2015,0,Good
BY,Barnacle Goose,2955,JAN-2016,0,Good
BY,Barnacle Goose,2955,FEB-2016,0,Good
BY,Barnacle Goose,2955,MAR-2016,0,Good
BY,Barnacle Goose,2955,SEP-2016,0,Good
BY,Barnacle Goose,2955,OCT-2016,24,Good
BY,Barnacle Goose,2955,NOV-2016,0,Good
BY,Barnacle Goose,2955,DEC-2016,0,Good
BY,Barnacle Goose,2955,JAN-2017,0,Good
BY,Barnacle Goose,2955,FEB-2017,0,Good
BY,Barnacle Goose,2955,MAR-2017,0,Good
BY,Barnacle Goose,2955,SEP-2017,0,Good
BY,Barnacle Goose,2955,OCT-2017,0,Good
BY,Barnacle Goose,2955,NOV-2017,0,Good
BY,Barnacle Goose,2955,DEC-2017,0,Good
BY,Barnacle Goose,2955,JAN-2018,0,Good
BY,Barnacle Goose,2955,FEB-2018,0,Good
BY,Barnacle Goose,2955,MAR-2018,0,Good
JI,Greylag Goose (Icelandic),3100,JAN-2015,0,Good
JI,Greylag Goose (Icelandic),3100,FEB-2015,5,Good
JI,Greylag Goose (Icelandic),3100,MAR-2015,0,Good
JI,Greylag Goose (Icelandic),3100,APR-2015,0,Good
JI,Greylag Goose (Icelandic),3100,MAY-2015,0,Good
JI,Greylag Goose (Icelandic),3100,JUN-2015,0,Good
JI,Greylag Goose (Icelandic),3100,JUL-2015,0,Poor
JI,Greylag Goose (Icelandic),3100,AUG-2015,0,Poor
JI,Greylag Goose (Icelandic),3100,SEP-2015,0,Good
JI,Greylag Goose (Icelandic),3100,OCT-2015,0,Good
JI,Greylag Goose (Icelandic),3100,NOV-2015,0,Good
JI,Greylag Goose (Icelandic),3100,DEC-2015,0,Good
JI,Greylag Goose (Icelandic),3100,JAN-2016,0,Good
